"diff_hometown_current_region","degree_bracket_mean","fraction_long_edges_mean","fraction_long_edges_boot_se","wcnt"
"Local",10.4881706899583,0.504762408227836,0.00678703492470717,700789
"Migrant",10.4881706899583,0.5401147675178,0.00370195868500321,163843
"Local",12.4900149756457,0.475595184659411,0.0067963098860909,641920
"Migrant",12.4900149756457,0.510906872251366,0.00354830127200916,151368
"Local",14.9785560426843,0.445845930963175,0.00659864617339868,881485
"Migrant",14.9785560426843,0.482426007215402,0.00344271267538041,209032
"Local",17.49229807005,0.421097961216612,0.00652754772267704,542632
"Migrant",17.49229807005,0.458594290193522,0.00349230776330353,128888
"Local",19.9833015180729,0.401141330742002,0.00648239468311148,756989
"Migrant",19.9833015180729,0.439252279892,0.00346866459082309,181240
"Local",22.9853589164268,0.380509409378084,0.00637042717492988,702968
"Migrant",22.9853589164268,0.41826649391452,0.00330539610651848,168962
"Local",26.4717026338498,0.360245439147287,0.00641977193345981,860502
"Migrant",26.4717026338498,0.397923722960592,0.00293183827994,207972
"Local",29.9847555744692,0.342828764026438,0.00644516558280064,595676
"Migrant",29.9847555744692,0.381202252005943,0.00308019553122057,144529
"Local",33.4733433418504,0.328358106448869,0.00632365920609937,739803
"Migrant",33.4733433418504,0.3671588124286,0.00322395124700982,178748
"Local",37.4761353504729,0.313168942804733,0.00632809348487456,680955
"Migrant",37.4761353504729,0.352743509282449,0.00290493700146724,164731
"Local",41.9616206855121,0.29934703111873,0.00624737517765454,776620
"Migrant",41.9616206855121,0.339099564403252,0.00317438194581691,188848
"Local",46.9612078049158,0.285520478844729,0.00631398402728995,706198
"Migrant",46.9612078049158,0.325839681894222,0.00302008800997111,171659
"Local",52.4455851701208,0.272524904908324,0.00621621160168155,763438
"Migrant",52.4455851701208,0.313126249240511,0.00289957093497533,184594
"Local",58.4473474095626,0.260123811995713,0.00623995130704883,683526
"Migrant",58.4473474095626,0.301312496275437,0.00289404504061824,164381
"Local",64.9232766699121,0.248635151047979,0.00618481892875276,707225
"Migrant",64.9232766699121,0.289366223942587,0.00306776403026395,168884
"Local",72.4094510938269,0.237444454873765,0.00623598657637769,707771
"Migrant",72.4094510938269,0.278436303316155,0.00292272745583883,167916
"Local",81.35201355542,0.225250482195263,0.00629684150144131,754671
"Migrant",81.35201355542,0.266835345296619,0.00294175338141738,176617
"Local",91.8252068910756,0.213073106542515,0.00619712476338697,689641
"Migrant",91.8252068910756,0.254915391105645,0.00289464662323842,160444
"Local",104.689503381013,0.200640080203902,0.00628931508726406,755378
"Migrant",104.689503381013,0.242108743723357,0.00306423799512721,171711
"Local",121.505171522151,0.187396295756323,0.00638344740867885,720701
"Migrant",121.505171522151,0.229781366884124,0.00311600100141498,161051
"Local",144.864666602935,0.172737764325908,0.00632373461492609,727284
"Migrant",144.864666602935,0.215329092835057,0.00340668224758231,158029
"Local",184.93628469005,0.154252703397479,0.00647948315472682,780515
"Migrant",184.93628469005,0.19694555409974,0.00358453681052612,161955
"Local",306.070187567486,0.125361598931103,0.00692617095681482,704920
"Migrant",306.070187567486,0.168399002229897,0.00417382315803889,135018
