"multiple_high_schools","degree_bracket_mean","fraction_long_edges_mean","fraction_long_edges_boot_se","wcnt"
"Single",10.4873000633873,0.520378113032448,0.00610592816416889,1108589
"Multiple",10.4873000633873,0.550154949144668,0.00523967051362497,25708
"Single",12.9717719033103,0.485439435008912,0.00607111995560155,1480466
"Multiple",12.9717719033103,0.517648838816014,0.00507038006445907,35435
"Single",15.491518167885,0.456696693485107,0.00605649990500545,896036
"Multiple",15.491518167885,0.491660770662224,0.00468464778846932,21985
"Single",17.4904832994502,0.437688724419717,0.00598748755309659,834682
"Multiple",17.4904832994502,0.468774321706174,0.00488792081641534,20709
"Single",19.9814925599501,0.417870263886035,0.00593689011803627,1157871
"Multiple",19.9814925599501,0.448618853623756,0.00496238399456747,28949
"Single",22.983177956372,0.397043219351121,0.00586846321610051,1061813
"Multiple",22.983177956372,0.431110161551183,0.00445952381292222,26937
"Single",26.4691691133826,0.377210591971653,0.00588266510367391,1290820
"Multiple",26.4691691133826,0.412120347719421,0.0045550196092974,33404
"Single",29.9841982161688,0.359887976556093,0.00587315440374586,885685
"Multiple",29.9841982161688,0.394044905955206,0.00488009392112019,23706
"Single",33.4716392953547,0.345459780423357,0.0058601388187107,1090034
"Multiple",33.4716392953547,0.380412625842726,0.00504223331097881,29508
"Single",37.9564232805071,0.329105653590493,0.00592515156984375,1229115
"Multiple",37.9564232805071,0.365094576909803,0.0045886565735627,33830
"Single",42.4729903922702,0.314918744645618,0.00590646732113365,892029
"Multiple",42.4729903922702,0.350531610620329,0.00530549773259849,24941
"Single",47.438984583828,0.301437162188287,0.00597945691318289,1204210
"Multiple",47.438984583828,0.336104998538636,0.00482903562911001,34100
"Single",53.4411444676009,0.287298569731598,0.00594165152817583,1065749
"Multiple",53.4411444676009,0.322909455638217,0.00495419934812021,30656
"Single",59.4437167169069,0.275031130858452,0.00599852270252431,945986
"Multiple",59.4437167169069,0.309828914428586,0.00499372552887453,27669
"Single",66.3986910997079,0.262912453649412,0.00604991393849628,1098267
"Multiple",66.3986910997079,0.297410200418636,0.0050220990019987,32606
"Single",75.3398929867375,0.249218596810878,0.00607485069998541,1156546
"Multiple",75.3398929867375,0.281527507035832,0.00539837418353105,35082
"Single",85.814805981341,0.23551521795996,0.00616199963799779,1045402
"Multiple",85.814805981341,0.268354789975254,0.00512057990495752,32149
"Single",98.2107485155109,0.222150247423037,0.0062738540298304,1059914
"Multiple",98.2107485155109,0.255076639943239,0.00547632143249305,33223
"Single",114.484804740102,0.207384013929107,0.00639810375193132,1079577
"Multiple",114.484804740102,0.238968423269382,0.00508048750522427,34323
"Single",137.415355325932,0.191079040952113,0.00651430807144513,1070806
"Multiple",137.415355325932,0.222881820815659,0.00575107220979809,34869
"Single",176.173439595647,0.170487379501442,0.00674664428418943,1109073
"Multiple",176.173439595647,0.198839217085371,0.00580437943846229,37649
"Single",296.12986938314,0.138325371672162,0.00738677048699083,1007344
"Multiple",296.12986938314,0.160326311159839,0.00644387168593838,36166
