"diff_hometown_current_region","degree_in_region_bracket_mean","fraction_long_edges_in_region_mean","fraction_long_edges_in_region_boot_se","wcnt"
"Local",11.4875704029459,0.442410070168347,0.00574062595830994,744106
"Migrant",11.4875704029459,0.437387662568016,0.00203993627573172,199569
"Local",13.4896992618266,0.41669319495688,0.00579982739180499,685529
"Migrant",13.4896992618266,0.414820077274493,0.00188468862468326,181205
"Local",15.4901074575704,0.395408208069289,0.00567174945607286,635053
"Migrant",15.4901074575704,0.396075210181029,0.0020415818085482,165449
"Local",17.9780134611833,0.373689609047686,0.00580937546079894,876437
"Migrant",17.9780134611833,0.375798945374836,0.00171797757720603,222872
"Local",20.4925580810137,0.35453740581744,0.00576549697838344,541264
"Migrant",20.4925580810137,0.357862783245446,0.00145181565126536,134301
"Local",22.9792194686943,0.338543598703622,0.00580416000237939,753534
"Migrant",22.9792194686943,0.344263002316518,0.00181174412591904,183930
"Local",25.9798713559207,0.322060676650208,0.00581173673141143,692574
"Migrant",25.9798713559207,0.329024784748712,0.00183496815767143,164364
"Local",28.979037844284,0.307641413537251,0.00579647636125533,640263
"Migrant",28.979037844284,0.315655757371797,0.00169683092512397,147967
"Local",32.4670611522251,0.292452585408638,0.00579576321127429,782069
"Migrant",32.4670611522251,0.303179687056812,0.00159306762296823,175296
"Local",36.4668576090501,0.278174041774394,0.00584445863995268,708421
"Migrant",36.4668576090501,0.289547020329632,0.00162095272546135,153270
"Local",40.4688654932351,0.265921933225416,0.00577155643781844,645070
"Migrant",40.4688654932351,0.277662155830634,0.0016420126103962,134467
"Local",44.9529184019301,0.253542398796243,0.00576688624627648,724706
"Migrant",44.9529184019301,0.266268809388062,0.00176911742177365,145719
"Local",50.4320878154624,0.240544478302332,0.00578472269281617,766117
"Migrant",50.4320878154624,0.25454752421036,0.00163190587851066,148255
"Local",56.9052193379314,0.227204364563687,0.00586915267660795,773600
"Migrant",56.9052193379314,0.242326758072017,0.00167852791928088,142589
"Local",63.9117558898579,0.214962335035773,0.00583587601167487,664876
"Migrant",63.9117558898579,0.23018524793772,0.00187378086037003,115788
"Local",72.3183258151335,0.202059442301884,0.00581842963622394,793227
"Migrant",72.3183258151335,0.218600114155901,0.00169124450300974,130088
"Local",83.2456685713762,0.188208448716735,0.00592873269679917,756540
"Migrant",83.2456685713762,0.205229798391287,0.00189691285627169,116209
"Local",96.6186940324325,0.173946204597899,0.00591456843184473,722052
"Migrant",96.6186940324325,0.192400849046761,0.00177054490084994,101751
"Local",115.560832034769,0.157938493940003,0.00594507287931566,792678
"Migrant",115.560832034769,0.177535404357804,0.00188242621182409,101900
"Local",148.723446167114,0.136858339824694,0.00601121218047142,825900
"Migrant",148.723446167114,0.158426912438675,0.0020598101730966,92442
"Local",249.330198609133,0.103001186492777,0.00615639980847231,745538
"Migrant",249.330198609133,0.126570083950372,0.00237869749610824,66761
