"out_of_region_college","degree_out_college_bracket_mean","fraction_long_edges_out_college_mean","fraction_long_edges_out_college_boot_se","wcnt"
"In-State",10.4869654705583,0.51314694269117,0.00647726242665392,706391
"Out-State",10.4869654705583,0.542515489161035,0.00527399366404253,383867
"In-State",12.4897401357914,0.483553242379934,0.006634656597457,643993
"Out-State",12.4897401357914,0.513293426035528,0.00470056717762111,349295
"In-State",14.4901371806228,0.45898379317825,0.00657765918941528,595525
"Out-State",14.4901371806228,0.489048605082745,0.00477438963732856,322316
"In-State",16.9784157554247,0.43346987011144,0.00664252360649227,815242
"Out-State",16.9784157554247,0.465004809520961,0.00477331784448237,441925
"In-State",19.9801056564425,0.408061070008558,0.00646030879181726,742574
"Out-State",19.9801056564425,0.439811797622587,0.00464356117938678,400565
"In-State",22.9806815998113,0.386955901607204,0.00654345519075936,682552
"Out-State",22.9806815998113,0.419062038915147,0.00486602429004696,368622
"In-State",25.9830355376327,0.369645128880595,0.00652407789458425,627561
"Out-State",25.9830355376327,0.400973884397873,0.00469399555326293,337810
"In-State",28.9840850784393,0.354423738957382,0.0067602852689125,582981
"Out-State",28.9840850784393,0.385255958129661,0.00465115125020618,315484
"In-State",32.4683628889042,0.339301346096673,0.0065954782421499,716245
"Out-State",32.4683628889042,0.37047760121593,0.00453495221446083,385183
"In-State",36.4720657597888,0.324229948950993,0.006589301463364,652226
"Out-State",36.4720657597888,0.355081178225118,0.00460325532975207,349967
"In-State",40.9560472319828,0.309047291214671,0.00658091396425483,736787
"Out-State",40.9560472319828,0.340653898199148,0.00453595092987035,397021
"In-State",45.955912619784,0.295274822833611,0.00671253356293307,662247
"Out-State",45.955912619784,0.325917977268889,0.00460069934110685,354688
"In-State",51.438071364022,0.281718949638317,0.0066452846206023,707999
"Out-State",51.438071364022,0.31275966885339,0.00455869483916705,378655
"In-State",57.4420801072237,0.268946902642109,0.00662229071556948,625569
"Out-State",57.4420801072237,0.300171686630466,0.0045484096768715,333920
"In-State",64.3941441868315,0.256495625614444,0.00666949621826065,722504
"Out-State",64.3941441868315,0.287072144338286,0.0045277730273909,385489
"In-State",72.3955818403201,0.24385750546915,0.00662142311291808,619384
"Out-State",72.3955818403201,0.274379477635114,0.00464764470259107,329201
"In-State",81.8104852481777,0.231530818474607,0.00673299892493718,705318
"Out-State",81.8104852481777,0.261684295643337,0.00468259202577315,375057
"In-State",93.7315903181382,0.21827682601552,0.00665584207689358,664451
"Out-State",93.7315903181382,0.248121013279408,0.0048146107125977,354320
"In-State",109.017653723622,0.204220291547265,0.00672330293094714,692324
"Out-State",109.017653723622,0.233322330564566,0.00494686408820976,367679
"In-State",130.940378633276,0.18855698068726,0.00676610782434626,716744
"Out-State",130.940378633276,0.216470090435074,0.00514132802146145,383416
"In-State",167.885871677235,0.168654448489764,0.00684776326530198,704063
"Out-State",167.885871677235,0.195009054706547,0.00540723753339941,377374
"In-State",282.365102360566,0.139340818415264,0.00733492062085009,624869
"Out-State",282.365102360566,0.161815962710875,0.00625907121449788,348172
