"county_fips","mean_degree_bracket","fill_var_bracket","fill_var_bracket_decile","fips"
18181,"15","[-0.0028,0.0083)","6",18181
17007,"17","[0.033,0.052)","9",17007
39087,"20","[-0.046,-0.032)","2",39087
21071,"22","[-0.22,-0.046)","1",21071
18087,"16","[-0.0028,0.0083)","6",18087
13309,"29","[-0.032,-0.021)","3",13309
13043,"24","[-0.021,-0.011)","4",13043
4005,"4","[0.033,0.052)","9",4005
22095,"29","[-0.011,-0.0028)","5",22095
39065,"13","[-0.032,-0.021)","3",39065
29151,"15","[-0.032,-0.021)","3",29151
48403,"27","[-0.011,-0.0028)","5",48403
29217,"6","[-0.046,-0.032)","2",29217
17053,"22","[-0.0028,0.0083)","6",17053
36017,"9","[-0.032,-0.021)","3",36017
18065,"15","[-0.011,-0.0028)","5",18065
38001,"16","[-0.021,-0.011)","4",38001
16039,"7","[0.052,0.11]","10",16039
1043,"7","[-0.011,-0.0028)","5",1043
13283,"29","[-0.046,-0.032)","2",13283
12086,"1","[0.052,0.11]","10",12086
13161,"19","[-0.22,-0.046)","1",13161
13071,"9","[-0.22,-0.046)","1",13071
24005,"21","[0.052,0.11]","10",24005
26065,"7","[0.021,0.033)","8",26065
26031,"13","[0.0083,0.021)","7",26031
34013,"6","[0.021,0.033)","8",34013
39001,"11","[-0.22,-0.046)","1",39001
39073,"18","[-0.011,-0.0028)","5",39073
53021,"2","[-0.0028,0.0083)","6",53021
23005,"4","[0.033,0.052)","9",23005
26043,"5","[-0.046,-0.032)","2",26043
26055,"6","[0.052,0.11]","10",26055
22055,"18","[0.021,0.033)","8",22055
8103,"10","[-0.0028,0.0083)","6",8103
37097,"17","[0.033,0.052)","9",37097
37147,"21","[0.0083,0.021)","7",37147
42007,"16","[0.0083,0.021)","7",42007
45069,"27","[-0.22,-0.046)","1",45069
48435,"27","[-0.046,-0.032)","2",48435
18051,"15","[-0.021,-0.011)","4",18051
39107,"4","[-0.046,-0.032)","2",39107
27155,"12","[-0.032,-0.021)","3",27155
49011,"3","[0.052,0.11]","10",49011
27051,"15","[0.021,0.033)","8",27051
8037,"2","[0.052,0.11]","10",8037
35019,"21","[-0.22,-0.046)","1",35019
36005,"1","[0.052,0.11]","10",36005
40005,"16","[-0.032,-0.021)","3",40005
46079,"8","[0.0083,0.021)","7",46079
30013,"2","[0.0083,0.021)","7",30013
28097,"30","[-0.021,-0.011)","4",28097
13099,"28","[-0.22,-0.046)","1",13099
8111,"25","[0.052,0.11]","10",8111
8109,"15","[0.052,0.11]","10",8109
47167,"25","[0.0083,0.021)","7",47167
23001,"6","[0.0083,0.021)","7",23001
26143,"21","[0.033,0.052)","9",26143
13245,"18","[0.021,0.033)","8",13245
12099,"3","[0.052,0.11]","10",12099
16019,"2","[0.033,0.052)","9",16019
20191,"11","[-0.011,-0.0028)","5",20191
27127,"8","[-0.011,-0.0028)","5",27127
37175,"9","[0.033,0.052)","9",37175
55075,"9","[-0.011,-0.0028)","5",55075
48283,"24","[-0.22,-0.046)","1",48283
48203,"24","[-0.011,-0.0028)","5",48203
28079,"29","[-0.046,-0.032)","2",28079
49003,"3","[0.033,0.052)","9",49003
51049,"29","[0.021,0.033)","8",51049
18183,"15","[0.021,0.033)","8",18183
47027,"24","[-0.046,-0.032)","2",47027
2068,"21","[0.052,0.11]","10",2068
13273,"30","[-0.021,-0.011)","4",13273
20073,"17","[-0.011,-0.0028)","5",20073
20015,"16","[0.033,0.052)","9",20015
27001,"11","[0.021,0.033)","8",27001
37073,"29","[0.0083,0.021)","7",37073
40049,"18","[-0.011,-0.0028)","5",40049
31167,"21","[0.021,0.033)","8",31167
28081,"24","[-0.032,-0.021)","3",28081
5023,"22","[0.021,0.033)","8",5023
48505,"3","[-0.22,-0.046)","1",48505
13291,"23","[0.033,0.052)","9",13291
40077,"21","[-0.021,-0.011)","4",40077
13127,"13","[0.021,0.033)","8",13127
26123,"13","[0.021,0.033)","8",26123
27047,"3","[-0.032,-0.021)","3",27047
35037,"15","[-0.22,-0.046)","1",35037
39163,"22","[-0.032,-0.021)","3",39163
39111,"22","[-0.046,-0.032)","2",39111
40085,"24","[-0.0028,0.0083)","6",40085
55095,"7","[0.021,0.033)","8",55095
55017,"5","[0.0083,0.021)","7",55017
31017,"12","[-0.011,-0.0028)","5",31017
48285,"16","[-0.032,-0.021)","3",48285
35045,"2","[-0.011,-0.0028)","5",35045
42053,"27","[0.033,0.052)","9",42053
29093,"20","[-0.046,-0.032)","2",29093
26007,"4","[-0.032,-0.021)","3",26007
13013,"26","[0.052,0.11]","10",13013
8093,"21","[0.052,0.11]","10",8093
40091,"23","[0.0083,0.021)","7",40091
32510,"4","[0.052,0.11]","10",32510
56011,"23","[0.033,0.052)","9",56011
45067,"27","[-0.032,-0.021)","3",45067
55051,"23","[-0.0028,0.0083)","6",55051
31007,"29","[0.052,0.11]","10",31007
47031,"15","[0.0083,0.021)","7",47031
18135,"16","[-0.021,-0.011)","4",18135
19073,"12","[-0.011,-0.0028)","5",19073
13225,"30","[0.033,0.052)","9",13225
1063,"30","[-0.032,-0.021)","3",1063
17021,"11","[-0.22,-0.046)","1",17021
20139,"18","[0.0083,0.021)","7",20139
48045,"27","[0.0083,0.021)","7",48045
21023,"26","[-0.032,-0.021)","3",21023
29099,"12","[0.033,0.052)","9",29099
36043,"11","[-0.032,-0.021)","3",36043
37165,"26","[-0.032,-0.021)","3",37165
42019,"9","[0.021,0.033)","8",42019
53075,"2","[0.0083,0.021)","7",53075
48153,"27","[-0.032,-0.021)","3",48153
48117,"4","[-0.22,-0.046)","1",48117
51107,"5","[0.052,0.11]","10",51107
47063,"11","[-0.0028,0.0083)","6",47063
19157,"9","[-0.021,-0.011)","4",19157
6049,"5","[-0.011,-0.0028)","5",6049
6019,"1","[0.021,0.033)","8",6019
17193,"16","[-0.22,-0.046)","1",17193
24031,"2","[0.033,0.052)","9",24031
19183,"8","[-0.0028,0.0083)","6",19183
53025,"1","[-0.046,-0.032)","2",53025
20027,"10","[-0.0028,0.0083)","6",20027
21213,"24","[-0.011,-0.0028)","5",21213
47107,"14","[-0.0028,0.0083)","6",47107
37049,"17","[0.021,0.033)","8",37049
39069,"16","[-0.0028,0.0083)","6",39069
40061,"19","[-0.22,-0.046)","1",40061
40089,"6","[-0.22,-0.046)","1",40089
46043,"11","[-0.032,-0.021)","3",46043
48317,"27","[-0.0028,0.0083)","6",48317
13121,"18","[0.052,0.11]","10",13121
28113,"28","[-0.046,-0.032)","2",28113
12029,"13","[-0.021,-0.011)","4",12029
39021,"21","[0.0083,0.021)","7",39021
21235,"15","[-0.046,-0.032)","2",21235
48489,"14","[-0.22,-0.046)","1",48489
27087,"14","[-0.22,-0.046)","1",27087
1113,"29","[0.033,0.052)","9",1113
54091,"22","[-0.032,-0.021)","3",54091
51085,"24","[0.052,0.11]","10",51085
51740,"29","[0.033,0.052)","9",51740
42023,"10","[-0.22,-0.046)","1",42023
38057,"12","[-0.011,-0.0028)","5",38057
21115,"23","[-0.22,-0.046)","1",21115
13311,"22","[0.033,0.052)","9",13311
40139,"3","[-0.22,-0.046)","1",40139
15009,"2","[-0.0028,0.0083)","6",15009
2050,"16","[-0.22,-0.046)","1",2050
55029,"5","[0.0083,0.021)","7",55029
21159,"23","[-0.22,-0.046)","1",21159
26133,"18","[-0.0028,0.0083)","6",26133
21209,"26","[0.033,0.052)","9",21209
22127,"24","[-0.22,-0.046)","1",22127
31159,"13","[0.033,0.052)","9",31159
55053,"9","[-0.021,-0.011)","4",55053
48257,"26","[0.033,0.052)","9",48257
6095,"5","[0.021,0.033)","8",6095
45031,"25","[-0.032,-0.021)","3",45031
13007,"30","[-0.0028,0.0083)","6",13007
39071,"14","[-0.011,-0.0028)","5",39071
40027,"16","[0.052,0.11]","10",40027
41021,"14","[0.021,0.033)","8",41021
29013,"15","[-0.021,-0.011)","4",29013
31021,"19","[-0.0028,0.0083)","6",31021
29059,"14","[0.021,0.033)","8",29059
13207,"29","[0.021,0.033)","8",13207
6053,"1","[0.021,0.033)","8",6053
17089,"6","[0.033,0.052)","9",17089
36081,"1","[0.033,0.052)","9",36081
17131,"22","[-0.021,-0.011)","4",17131
17099,"6","[-0.046,-0.032)","2",17099
26137,"15","[0.021,0.033)","8",26137
27153,"6","[-0.0028,0.0083)","6",27153
40051,"21","[0.0083,0.021)","7",40051
30001,"5","[0.033,0.052)","9",30001
28017,"30","[-0.032,-0.021)","3",28017
29009,"8","[-0.0028,0.0083)","6",29009
16007,"7","[-0.032,-0.021)","3",16007
6071,"1","[-0.0028,0.0083)","6",6071
28069,"30","[-0.021,-0.011)","4",28069
21123,"27","[0.0083,0.021)","7",21123
21035,"16","[0.0083,0.021)","7",21035
